Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_Hand",6.300000,-25.600000,0.000000,top
"C2","100nF","C_0805_Hand",6.300000,-29.000000,0.000000,top
"J1","","Pico_Socket_1x11",1.609999,-14.000000,0.000000,top
"J3","","Pico_Socket_1x5",19.390000,-14.000000,0.000000,top
"U1","","nRF24L01_Mini_SMD_8P127",10.500000,-20.000000,0.000000,top
